teks,jenis
Empat kali empat \n Sama dengan enam belas \n Cepat atau lambat \n Cintaku pasti kau balas 😀 \n ,pantun
"Mata belo, \n ala komedian. \n Gue sama elo? \n maunya jadian. \n ",pantun
Masak ayam masak tumis.. \n Iris tipis sampai habis.. \n Selasa malam hujannya gerimis.. \n Dompet tipis makin kritis. \n ,pantun
"Tak henti ku menghitung 
 Dalam satu hari 
 Hanya satu hari... 
 Kesabaran yang ku miliki tak mampu mengalahkannya 
 Rasa yang sering kali datangMenghantuikuMenjatuhkanku 
 Menjadikan aku rapuh 
 Dan tak berdaya 
 Di penghujung rasa ini 
 Aku masih memohon 
 Masih ada kesempatan lagi untukkuNamun.... 
 Karena aku 
 Karena aku 
 Terlalu buta untuk berubah 
 Mengubah semua yang ada dalam diri 
 Penyesalan selalu hadir di penghujung rasa ini 
 Hingga ku tak mampu menepisnya lagi 
 Aku salah 
 Aku yang salah 
 Tak bisa jadi lebih dewasa 
  
 ",puisi
"Cik Limah bersama anak lelaki \n Duduk makan keropok lekor \n Yang mengejar tidak berkaki, \n Yang dikejar tiada berekor? \n (ular dan katak) \n ",pantun
Kepada siapa datangnya wahyu \n Kepada Nabi wahyu turun \n Dari mana datangnya ilmu \n Dari belajar dengan tekun \n ,pantun
"Kalau kamu membeli tikar, \n Tikar terbuat dari mengkuang, \n Kalau kamu memang pintar, \n Ular apa yang melilit pinggang? \n (Jawabannya: Ikat Pinggang) \n ",pantun
Terbang burung amat rendah \n Terbangnya dia ke utara \n Sawah itu amat indah \n Terhampar bagai selendang sutra \n ,pantun
Maluku penghasil pala \n Tanah sumba banyak kuda \n Lihat kamu pusing kepala \n Tidak bertemu sakit di dada \n ,pantun
Suara kereta tut tut tut \n Terdengar hingga Ci Salak \n Udin lari terkentut-kentut \n Ternyata dikejar anjing galak \n ,pantun
Siang-siang minum es \n Minumnya sambil nonton upin ipin \n Kamu tau siapa itu orang sukses \n Sukses itu adalah orang-orang rajin \n ,pantun
"Pohon ara dibuat gubuk.., \n Pasang pasak biar tegak.., \n Resiko asmara dunia facebook.. , \n Cinta ditolak blokir bertindak.. \n ",pantun
"Tiada terucap kata dibibir ku 
 Terasa kiku, kaku, peluh 
 Berat rasanya mengutarakan ucapan ku ini 
 Bagai tak tersampaikan satu ucapan punBagaimana.. 
 bagaimana... 
 Aku mau mengutarakannya 
 Terasa masih berat Tolong beri petunjukmuTuhan.... 
 Begitu kerasnya memikul beban hidup ini 
 Tapi tak pernah ku lihat wajahmu yang begitu letih 
 Mengapa dirimu senyummengapa......Oh.. 
 ibu... 
 Tak pernah kah ibu menyadari 
 Di umur senja tetap saja berbagi kebersamaanwalau kebersamaan itu telah usaiketika ibu tak lagi dihadapanku 
 Ibu.. 
 yang melahirkankuIbu.. 
 membesarkanku 
 Ibu.. 
 mengenangkan selalu di pikiranku 
 Ibu.. 
 berbagi suka dan duka 
 Ibu.. 
 selalu tabah dan sabar Ibu.. 
 teman karibkuIbu.. 
 penyayangDan 
 Ibu.. 
 penggemarku 
  
 ",puisi
Hari minggu pergi ke museum \n Ke museum lewati hutan pohon cemara \n Cobalah saja dari tersenyum \n Sebelum mencoba untuk berbicara \n ,pantun
"Kita hidup bukan tanpa alasan dan tujuan. 
 Tapi kita hidup untuk mengetahui arti kehidupan ini. 
 Bahwa apa yg kita inginkan selalu membutuhkan perjuangan. 
 Dalam mencapai keberhasilan dibutuhkan tekad yang kuat dan perjuangan. 
 Walau banyak rintangan yang menghadang kita harus tetap berusaha. 
 Walau terjatuh 
 tapi kita harus bangkit. 
  
 ",puisi
"Cinta darimu mengoyak ngoyak hati 
 Begitu besar cemburu 
 Begitu besar godaan itu 
  
 Datanglah kasih 
 Bawa kelok indah senyummu 
 Aku tak ingin terus bermimpi 
 Mendengar suaramu 
 melihat dirimu 
  
 Lengkapi aku 
 Sempurnakan hidupku 
 Temani aku menikmati waktu 
 Karena kamu begitu berarti bagiku 
  
 ",puisi
Menendang bola mengenai mistar \n Penonton protes yang tidak perlu \n Jika kau merasa paling pintar \n Kucing apa yang tidak berbulu ? \n ( Jawabannya : Kucing Sphynx ) \n ,pantun
"Ahmadi 
  
 Di atas bumi daku berdiri 
 Di bawah daku menelusuri bangsa 
 Berjalan menelusuri NKRI 
 Berlari daku menancapkan tiang-tiang 
 Sang saka merah-putih 
 Berlawan di medan perang 
 Berdarah di titik penghabisan 
 Demi menujunya tegaknya bangsa daku ini 
 Bersemangat jiwa membanting tulang-tulang rusuk 
 Bercucur keringat memeras hasrat ragaku 
 Bersedih melawan kemiskinan 
 Nan menghantui bangsa ini 
 Mendaki gunung di puncak tertinggi 
 Menancapkan panji-panji merah-putih 
 Membuktikan kepada dunia 
 Bahwa NKRI sudah Merdeka 
 Walaupun garuda nan telah tiada 
 Panji-panji satria muda 
 Tetap sepantun melambangkan bangsa ini 
 Dengan seantero kejayaan…... 
  
 ",puisi
Kemanapun kaki melangkah \n Aku selalu mengurai doa \n Kemanapun cinta merambah \n Aku selalu mengurai setia \n ,pantun
"Senyum indah bidadari kecil.. 
 Sesejuk embun yang membelai kering ragaku 
 Seindah pelangi yang membelalakkan mata senduku 
 Semerdu alunan dawai yang terlalu sempurna bagi suara parauku.. 
 Mungkin aku terlalu takut untuk sekedar mengecapnya 
 Karna rasa pahit itu masih melekat di pangkal jiwa 
 Karna rasa sakit itu masih merajam di uluhatiNamun.. 
 Apa salahnya jika kunikmati saja rasa ini ? 
 Meski kau kurang berkenan sepertinya 
 Itu tak menjadi soal bagiku 
 Ada sedikit perasaan aneh yang memenjarakan aku 
 Mencampakkan aku di perihnya rindu 
 Menghentak – hentak tepat di jantung kusam hatiku 
 Kucoba menghempas perasaan kaku ini 
 Mengalun bersama senandung perasaan aneh ini 
 Bertahan diantara udaramu yang membuat dadaku sedikit sesak 
 Sedikit mencumbu indah senyummu yang terkadang membuatku melayang 
 Sepertinya aku jatuh hati padamu ?? 
  
 ",puisi
buah salak baru dipetik \n buah dukuh buah delima \n ada banyak wanita cantik \n cuma kamu yg aku cinta \n ,pantun
"Dia sempat ku sebut malaikat 
 Dia sempat menjadi yang terindah 
 Dia sempat menjadi yang ku pinta pada Tuhan 
 Adalah dia yang dulu ku tunggu hadirnya 
 Adalah dia yang ku ingin lihat wajahnya 
 Adalah dia yang kunanti kabarnya 
 Adalah dia yang ku pinta pada Tuhan 
 Temaram kali ini mengiringi langkahku yang berharap dapat berhenti dari asaku duluyang tak ingin tersayat hatinya lebih dari iniyang berharap segera bangun dari mimpi buruk iniyang menarik kembali permintaannya pada Tuhan 
 Karena malaikatku ternyata telah memiliki tangan lain untuk digenggam 
  
 ",puisi
Hujan turun belum reda \n Airnya rembes dari talang \n Berpetualang selagi muda \n Hatimu bebas bagaikan elang \n ,pantun
"Meski luka yang kau toreh begitu dalam di jiwaku 
 Meski air mata begitu banyak mengalir di pelupuk mataku 
 Tetap kata maaf yang selalu keluar dari bibirku 
  
 Walaupun aku harus mengelus dada 
 Setiap kali melihat caramu bicara 
 Tetap pintu maaf terbuka dijendela jiwa 
  
 Kutau, dibalik semua yang kau hadirkan padaku 
 dibalik semua yang ku tumpahkan untukku 
 ada seberkas kasih yang tak mampu kau goreskan lewat penamu 
  
 Jendela jiwaku takkan pernah menutup walau sedetikpun untukmu 
 Pintu hatiku takkan pernah terhalang untuk kehadiranmu 
 karena disana sejuta maaf selalu tersedia untukmu 
  
 Kembali padaku 
  
 ",puisi
"Aku rindu dan ingin bertemu 
 Lalu ku cari berbagai alasan 
 Supaya aku bisa berjumpa Supaya aku bisa bertatap mata 
 Supaya aku bisa mendengar suara itu 
 Supaya aku bisa melihat senyuman itu 
 Kurangkai kata-kata yang tepat 
 Semua kata yang ingin ku ucap 
 Semua rindu yang ingin ku sampaikan 
 Semua sudah ku rencanakan 
 Tapi begitu melihatnya 
 Rasanya aku ingin pingsan 
 Kakiku lemas seketika 
 Pikiranku mendadak kosong 
 Bahkan untuk memandang wajahnya pun 
 Aku juga tak sanggup 
 Dia sepertinya berkata sesuatu 
 Tapi rasanya aku tak bisa mendengarnya 
 Semua yang sudah ku rencanakan 
 Semuanya hilang seperti debu tertiup angin 
 Aku berusaha mengatakan sesuatu 
 Agar suasana tidak canggung 
 Tapi rasanya lidahku kelu, tak bisa bicara Perasaan apa ini? 
 Aku sangat rindu dan ingin bertemu 
 Tapi setelah bertemu... 
 Kenapa justru aku hanya diam? 
 Kenapa justru aku menjadi acuh? 
 Kenapa justru aku terlihat tak peduli? 
 Aku harus bagaimana? 
 Aku harus bagaimana? 
  
 ",puisi
"Kau yang dulu datang 
 mengetuk jendela hati 
 memaksa rasa…. 
 terbuka kunci cinta 
  
 susah payah… 
 Ku biarkan kau masuk 
 mengisi,,, 
 tahta cinta suci 
  
 saat kau raja hatiku 
 beri warna hidupku 
 amalkan senyum tulus 
 bertasbih kalbu suci 
  
 waktu yang berjalan 
 buatmu lupa Akan kerajaan,,, 
 yang kau tahtai 
  
 tinggalkan singgasana suci 
 tinggalkan semua ketulusan hati 
  
 ku terlalu sulit terima 
 ku kunci pintu hati 
 tak kan ku buka lagi 
 karena hanya beri 
 sakit dihati 
  
 kini kau kembali 
 meminta tahta itu lagi 
 tapi ku tak perduli 
  
 pergi kau… 
 Jangan pernah kembali 
 tahta ini bukan milikmu lagi 
  
 kerajaan ini tlah terkunci 
 hanya yang tulus sejati 
 menjadi raja hatiku 
 lagi…… 
  
 ",puisi
Di mana kuang hendak bertelur \n Di atas lata di rongga batu \n Di mana tuan hendak tidur \n Di atas dada di rongga susu \n ,pantun
"Ke jakarta naiklah pesawat.., \n Pesawat terbang, landingnya susah.., \n Kalau cinta sudah melekat.., \n Siang terbayang, malam mimpi basah.. \n ",pantun
"Pagi senja menyapadengan riangnya ku sambut mentari yang tersenyum indahdengan kilauan cahayanya 
 Detik berganti menitmenit berganti jamjam berganti minggusampai akhirnya zaman berganti keabadian 
 Hari ini aku tak taukepada siapa aku kan mengadusemua cobaan menyapa ku... 
 Bagaimana bisa aku menjalani hidup initanpa pedoman yang kuat dalam hidup kubagaikan daun yang di hembus anginbagaikan karang yang dihempas sang ombakbagaikan hidup digilas zamankemana lagi hati ini akan mengadu ... 
 Tapi 
 setelah aku sadari kau selalu ada buat kudimana pun aku beradakapanpun aku meminta 
 Hanya kuasa Mu yang sanggup mewujudkan semuanya 
 Kaulah sang pencipta maha pengasih lagi maha penyayang 
 Oh ... Tuhan ku hanya kau pelindung jiwa raga ku 
  
 ",puisi
"Oleh Latifah Putri W (elsyaahiida) 
  
 Tlah kau binasakan penjaga gerbang 
 Tlah kau rebut kunci darinya 
 Tlah kau runtuhkan dinding hati 
 Tak ingin lagi aku pergi 
 Itu yang ku bayang 
 Sebab sepanjang jalan tak seindah ini 
 Biarlah jarak menjadi awal dari setiap fajar nanti 
 Akankah ku tulis syair... 
 Apalah arti sebuah mimpi 
 Ketika pagi tak lagi berdesis 
 Ketika siang tak lagi menggoreskan panasnya 
 Dan ketika sore tak lagi bernaung 
 Ku cari hadirmu lepas fajar hingga petang 
 Semestara jarak membenamkan segala harapan 
 Tiada yang lebih pasti daripada gelap 
 Adakah yang lebih berduka selain hati yang rindu 
 Betapa ingin ku luhat wajahmu slalu 
 Namun, , dalam bentangan jarak , kan ku tanam cinta selalu... 
  
 ",puisi
"Wajah gelak bahagia.. 
 Penuh ceria, menari-nari dalam pelita kehidupan. 
 Duh, sungguh bahagianya jadi dia 
 Itulah kata mereka.. 
 Dan topeng terus tersenyum pada mereka.. 
 Ketika pertunjukkan selesai.. 
 Topeng pun lepas dari wajah.. 
 Di baliknya terdapat penat dan lelah yang sama dengan mu.. 
 Wajahnya pun muram penuh kesedihan.. 
 Dia menangis.. 
 Duh air mata kenapa harus jatuh lagi?Tanyanya.. 
 Doa pun terus bergulir dari butir-butir air mata yang bertasbih... 
 Kesedihan yang tidak pernah kau ketahui itu.. 
 Selalu disimpannya dalam balutan topeng.. 
 Karisma atas senyuman.. 
 Semuanya pudar ketika topeng di lepas.. 
 Suatu saat, dunia akan mengerti.. 
 Bahwa topeng adalah topeng bukan aku 
  
 ",puisi
Buah nanas buah naga \n Enak disantap dikala senja \n Dikala muda sudah terbiasa \n Saat menua merasakan hasilnya \n ,pantun
Soimah Bersama anak laki-laki \n Duduk makan keropok lekor \n Yang mengejar tak berkaki \n Yang dikejar tak ber ekor? \n (Jawabnya: Ular dan Katak) \n ,pantun
"Janganlah kau suka mengolok, \n Bisa-bisa rugi akhirnya, \n Ialah daun tak punya pokok, \n Setiap bangunan memilikinya? \n (Jawabannya: Pintu) \n ",pantun
Harum wanginya bunga selasih \n Tersiram hujan daunnya basah \n Belahan jiwa curahan kasih \n Tempat hilangkan resah gelisah \n ,pantun
Pohon jati kuat kayunya \n Pohon kapuk tinggi batangnya \n Murid rajin banyak ilmunya \n Murid malas banyak bohongnya \n ,pantun
"Rasa yang terlalu dalam membuatku kehilanganmukau pergi karena sikapkutapi kau harus tau kenapa ku begitu.. 
 Cemburu buta menutup kalbukini dari jauh ku hanya bisamerindui jejakmu di hatiku.. 
 Aku yang tak berarti apa apa buatmuharusnya malu memiliki rasa yangtak seharusnya ada dan begitu mnggeburasa yang mmbuatku kehilangnmu 
 Tapi apalah daya rasa itu hadir bgitu sajaakupun tak kuasa membendung rasa itukini hanya lewat puisi ku bisa mengucapkan i miss u.. 
 Pergilah.. jika itu maumu. 
 doaku mnyertai setiap langkahmu. 
 walau ku tau. 
 kau tak pernah menganggapku.. 
  
 ",puisi
"Dalam kesunyian malam 
 Bersama dengan keheningan yang ada 
 Hanya aku dan bintang 
 Bersama kisah di masa lalu 
 Kisah di penghujung senja 
 Membuat malam terasa mencekam 
 Semilir angin dingin 
 Semakin merasuk kedalam tulang 
 Dengan detakan jantung yang memecah kesunyian 
 Dengan potret dimasa lalu 
 Aku mengeram 
 Namun hanyalah sebuah pelipur lara 
 Bintang mulai terhempas 
 Memberiku kesadaran 
 Luka ini tak terobati 
  
 ",puisi
Kain batik banyak sekodi \n Perca banyak dalam goni \n Turun ke sawah menanam padi \n Bermain lumpur seperti petani \n ,pantun
"Mencintaimu bukanlah takdirku 
 Jangan protes, Kekasih! 
 Aku berpetualang, jauh 
 Berlayar mengarungi samudera biru 
 Aku menahan nafsu 
 Ingin kucumbu pulau itu 
 Yang menggoda perjalananku 
 Hingga sampailah aku di dermaga 
 Bandit-bandit laut berlabuh di sana 
 Kutaruhkan jiwa-ragaku 
 Hanya untuk kasihmu 
 Apakah ini semua hanya takdir? 
  
 ",puisi
"Andai kau sebuah harpa 
 Akan ku petik kau menjadi melodi yang indah 
 Andai kau sebuah kanvas 
 Akan ku lukis banyak warna untuk menjadi hiasan 
 Andai kau sebuah kayu 
 Akan ku ukir sebuah gambar untuk memperindah mu 
 Andai kau sebuah kertas 
 Akan ku tulis sebuah kisah untuk menjadi sejarah 
 Tapi 
 Kita seperti air dan api 
 Yang tak akan pernah bisa bersama 
  
 ",puisi
"Seakan-akan aku masuk kedalam permainanmu 
 Bukankah cinta itu tak untuk dipermainkan? 
 Permainan yang kau dalangkan 
 Dan kau membuatku seperti wayangmu yang tak berdaya 
 Kau berdusta dengan semua cintamu 
 Cintamu yang membuatku buta 
 Dengan semua perlakuanmu dibelakangku 
 Akupun tak tau.. 
 Nyatanya kau telah bersama dia dalam diam 
 Kau hancurkan aku perlahan dengan semua dusta ini 
 Katakanlah jika memang kau tak menyayangiku 
 Sebelum ku tenggelam dalam permainanmu 
 Dan membuatku seakan bodoh 
 Karna semua sandiwaramu ini… 
  
 ",puisi
Jangan suka bermain tali \n Kalau tak ingin terikat olehnya \n Putus cinta jangan disesali \n Pasti kan datang cinta yang lainnya \n ,pantun
Anjing bermain dengan tali \n Kera duduk membaca koran \n Bagaimana hati tak geli \n Kepala botak suka sisiran \n ,pantun
"Kamu, ya kamu 
 Alasan aku ada di sini 
 Berdiri melangkah kubang kehidupan 
 Selalu berlari ke arah yang berbeda 
  
 Ibarat surga dan bumi 
 Entah ke mana kakimu akan membawamu 
 Entah ke mana surga akan menghantarku 
  
 Tapi, 
 Aku tahu, ke mana kau pergi 
 Kau tahu, di mana aku terjatuh 
 Surga pun tahu, akhir cerita ini 
 Dunia pun tahu, bahwa kita tak akan pernah bersama 
 Waktu dan jalan kita tak pernah bertemu 
 Sampai pada akhirnya tiba 
 Sampai memutih rambutmu 
  
 ",puisi
"Bukanlah aku melainkan sekedar pilu yang mengetuk pintu dan jendela 
 Saat tiba-tiba bau tanah terbersit nyaring 
 Oleh rintik hujan pertama yang turun di awal Desember 
 Saat cahaya matahari gugur di aspal, 
 Tontok menutupi bayang-bayang pohon 
  
 Bukanlah aku melainkan setangkai payung hitam yang dibawa oleh seorang peziarah 
 Saat kakinya memutuskan pergi 
 Ke arah persimpangan cuaca dan berbelok menuju menuju makam seorang rintik di hulu sungai 
  
 Bukanlah aku melainkan sekedar mantel musim hujan yang tergantung 
 Lusuh tanpa kancing dengan selembar saputangan robek dan surat tanpa nama pengirim tergeletak di salah sakunya yang basah 
  
 Bukanlah aku melainkan sekedar tik-tok jarum jam dinding yang fana 
 Setiap kali arang di perapian terbakar bersama sajak-sajak rumpang yang sebelumnya terbaring di ubin 
 Dalam dekap tajuk berita di halaman depan selembar koran 
  
 Bukanlah aku melainkan sekedar siut angin yang memutar engsel pintu berkarat 
 Untuk mempersilahkan masuk sepasang senyap yang dikucilkan oleh kawanan gigil yang menepi di sebrang jalan 
  
 Bukanlah aku melainkan sekedar satu-dua langkah kaki yang berdiri mematung 
 Bersama gemericik di ujung trotoar 
 Saat lampu-lampu beranda toko mulai redup tergantikan semerbak mendung yang jatuh di tengah kabut, menyentuh pucuk-pucuk pohon 
  
 Maret 2017 
  
 ",puisi
"Hei.. 
 apa kabar mentari...? 
 Apakah hangatmu masih seperti dulu...? 
 Apakah cahaya mu tlah mulai benderang...? 
 Apakah kau sudah mulai tersenyum...? 
 Hei.. 
 mentari terima kasih 
 Lelah mencerahkan jalanku 
 Untuk memulai hari iniHei.. 
 mentari 
 Bagaimana hari ini 
 Ceritakanlah hari yang telah kau lalui Matahari terlihat tersenyum samar 
 Kemudian hilang meninggalkan 
 Jejak merah di langit senja 
 Ia pergi tanpa menjawab tanyaku.... 
  
 ",puisi
"Telah lama kau menemani....... 
 Langkah kaki disepanjang perjalanan hidupku ini 
 Kau adalah bagian hidupku 
 Dan aku menjadi bagian hidupmu 
 Kau seperti angin di bawah sayapku.... 
 Sendiri ku takkan seimbang 
 Terkadang aku pun bertanya.... 
 Apa jadinya bila dirimu tak ada di jiwa & ragaku?Sahabat............. 
 Jangan kau pergi dariku................. 
  
 ",puisi
"Terbesit senyummu dalam hati ini. 
 Membuat perasaan aneh yg selalu bercampur aduk. 
 Aku bingung, karena pertama kali merasakannya. 
 Bisakah aku kembali melihat sosokmu yg masih terekam dalam pikiranku?. 
 Terbayang senyum manismu hancur hati ini. 
 Sebuah satu senandung terakhir yg paling ku ingat. 
 Aku juga masih saat kau memberikan tawamu untukku. 
 Tapi menyesal diriku karena tidak dapat berbicara denganmu saat terakhir kali kita bertemu. 
  
 ",puisi
Banyak bulan perkara bulan \n Tidak semulia bulan puasa \n Banyak tuhan perkara tuhan \n Tidak semulia Tuhan Yang Esa \n ,pantun
"Terbanglah…. 
 Terbanglah merpatiku 
 Menembus mega menyongsong fajar 
 Kutitipkan sekeping rindu kepadamu 
 Bisikkan bersama hembusan angin 
 Pada hujan yang kini kian terasa dingin 
 Jika malam semakin kelam.. 
 Kudengar tembang rindu buatku 
 Sebuah titipan dari sang perindu 
 Membuka damai dari gunung bersalju.. 
 Jika usai bayangmu mengusik kalbu 
 Kubelai engkau dengan tatapan seindah lantunan ayat suci al Quran yang mendayu.... 
 Bisikkan cintaku 
 Takkan pernah terhapus, tergores waktu 
 Di langit biru 
 Disanalah langkah pijak kita bertaut satu.. 
  
 ",puisi
Buah mangga dipetik Ata \n Mangga mantap itu punya Pak Ari \n Ayo bersama jaga lingkungan kita \n Agar tetap aman dan asri \n ,pantun
"Apa yang ku rasakan tak jarang juga ku catat 
 Apa yang ku inginkan acap kali pula ku catat 
 Dan entah apalagi yang ku apakan lagi itu pun selalu ku catat 
 Aku dan catatanku 
 Sepertinya sama saja 
 Barangkali terlalu berlebihan atau bahkan lebih rendah lagi 
 Ku catat 
 Semauku, tentang apa saja ku catat 
 Dari yang benar-benar teralami hingga yang barangkali tak pernah ku perbuat 
 Ku buat-buat seperti tanpa cacat 
 Agar terkesan baik penuh manfaat 
 Ku catat 
 Sesukaku, bahkan apa-apa ku ingat 
 Tentang sedikit yang ku ketahui hingga yang jelas-jelas tak ku pahami sangat 
 Ku rekayasa sedemikian rupa agar samar terlihat 
 Supaya dikira orang berbakat 
 Ku catat 
 Sebisaku, apalagi yang belum tercatat 
 Hal-hal besar-kecil, benar-salah, yang baik bahkan sampai yang jahat 
 Ku timbang-timbang dengan begitu berat 
 Seakan-akan bermaklumat dan sarat filsafat 
 Ku catat 
 Seberaniku, apapun sepertinya hebat 
 Mulai dari sedikit pujian, bullshit, makian sampai hujat dan laknat 
 Ku olah-olah secara cermat 
 Seolah-olah aku ini orang hebat 
 Ku catat ini, 
 Ku catat itu 
 Ku ulang-ulang kalau-kalau terlewat 
 Hingga rasa-rasanya tak pernah ku pahami 
 Bahwa catatanku-catatanku itu 
 Selalu saja terlewat 
 Kosong, salah dan cacat 
 Ku catat yang ini 
 Ku catat juga yang itu 
 Semuanya sepertinya kat 
 Sampai-sampai 
 Tak ku sadari kalau di kanan dan kiri ku 
 Ada dua malaikat Roqib dan Atit yang sentiasa mencatat 
 Ya Tuhan, 
 Adakah sedikit saja catatan di pundak kanan ku? 
 Ataukah penuh sesak catatan di pundak kiri ku? 
 Ya Allah, 
 Baikkah catatanku? 
  
 ",puisi
"Oleh #fikswulandari 
  
 Tenggelam di dalam jiwa yang sepi 
 Bermain sunyi bermandi sepi 
 Menutup mata sambil menikmati 
 Surya yang perlahan menepi 
 Ditemani air kopi 
 Duduk diantara monarki dan suci 
 Tak tahu arah dan sendiri 
 Betapa merindunya aku 
 Cinta tak bertemu 
 Laut menemaniku 
 Bias mentari membangunkanku 
 Sungguh ku ingin kau tau.. 
  
 ",puisi
Anak kecil berkepang pita \n Hendak berangkat main ke kota \n Padamu aku jatuh cinta \n Siang malam tampak di mata \n ,pantun
"Makan bubur di atas meja…, \n Minumnya jus di balik rak…, \n Hari libur terus bekerja.., \n Dapat bonus ambilnya di ira,  wkwk \n ",pantun
"Nangka muda digulai lemak, \n Buah beri masak tersangkut. \n Harta dunia jangan ditamak, \n Bila mati takkan mengikut. \n ",pantun
"Jika kamu merasa sedih kembali 
 Pergilah kesini akanku siapkan suatu cerita 
 Agar kamu tersenyum. 
  
 Jika kamu merasa memikirkanku kembali, 
 Pergilah kesini akanku siapkan jawaban 
 Agar kamu merasa tak harus lama berpikir. 
  
 Jika kamu merasa salah kembali, 
 Pergilah kesini akanku siapkan kebenaran 
 Agar tak pernah merasa ada kesalahan. 
  
 Jika kamu merasa membutuhkanmu kembali, 
 Pergilah kesini akanku siapkan perlengkapan 
 Agar kebutuhanmu terpenuhi. 
  
 Jika kamu merasa malu, 
 Pergilah kesini akanku yakinkan 
 Bahwa kamu adalah orang yang pemberani. 
  
 Jika kamu mengingat namaku kembali, 
 Jangan pergi kesini, pergilah letakan sebuah sejadah 
 Karena itu yang aku lakukan setiap aku mengingatmu. 
  
 Dan jika kamu mencariku tidak perlu kamu pergi kesini, 
 Karena kamu tidak pernah akan tahu 
 Bahwa aku akan menghampirimu. 
  
 ",puisi
Sakit kaki merah mamar \n pagie berobat k urang paloh \n mcm mne gtok e nk melamar \n sigek padi pun daan betaroh \n ,pantun
"Ragamu saat ini memang tak terlihat 
 Hidungmu yang mungil 
 Matamu yang sayup 
 Bibirmu yang indah nan tipis 
 Sungguh indah dan cantiknya dirimu 
  
 Wahai ibu.. 
  
 Kalau kau suruh aku hidup tanpa uang 
 Aku bisa hidup, aku bisa berjalan dengan gagah ,walau tak segagah tentara 
 Kalau kau suruh aku hidup tanpa makan 
 Aku bisa menahan nya , walaupun hanya dengan minum saja 
 Aku masih bisa hidup dan bernafas 
  
 Tapi jika kau suruh aku hidup tanpa kasih sayang, dan rangkulan mu 
 Sungguh jangan kau tanya bisa kah aku bertahan dengan semua itu? 
 Menahan kepedihannya saja aku sudah menangis kesakitan 
 Lebih sakit dari seorang keluarga korban pembantaian 
  
 Aku memang pernah merasakan kesakitan 
 Tapi bukanlah kesakitan batin karena kehilangan sosok purnama malam, pelita hidupku 
  
 Wahai ibuku... 
  
 Ketahuilah aku disini tersiksa 
 terpuruk, dan terjatuh 
 Hingga susah bagiku untuk bangkit 
 Aku berjalan tanpa arah tujuan 
 Aku bernapas terengah-engah 
 Lelah hati ini terus berlari 
 Mencari sosok pelita terang hidupku yang selalu ada dan bahkan setiap saat bersamaku 
  
 Ingin aku melepas semua rindu ini 
 Dengan memeluk, mencium, dan bersandar di bahu mu 
 Itu akan jauh lebih baik untuk membuat ku tenang 
 Inilah aku ,anakmu yang begitu merindukanmu. 
  
 ",puisi
Ini musim masih penghujan… \n Kata simbok jangan nakal.. \n Kalau muslim silahkan Jumatan.. \n Bawa gembok amankan sendal.. \n ,pantun
"Sahabat, 
 Rasanya 
 baru smalam kita bersama, 
 Kenapa aku tidak menghargai, 
 Saat-saat bersamamu, 
 Baru sekarang aku rasai, 
 Erti sebuah pertemuan, 
 Maafkan aku, 
 Kerana tidak mampu menjadi sahabat yang baik,Sahabat, 
 Aku hanyut dalam duniaku sendiri, 
 Sehingga aku lupa akan kehadiranmu, 
 Sungguh mulia hatimu sahabat, 
 Andainya masa dapat kuputar, 
 Akan kugunakan kesempatan itu, 
 Untuk membina bahagia bersama,Tetapi, 
 Angan-angan itu, 
 Tidak mungkin akan dikecapi. 
  
 ",puisi
Ada kain berwarna merah \n Sungguh indah dipandang mata \n Kalau main jangan marah \n Senang sahaja bersuka cita \n ,pantun
Pergi ke pasar membeli buka \n coba lh pilih warna baru \n jika kamu bilang i love you \n aku bilang i love you too \n ,pantun
"Ulang tahun nenek tanggal 2, \n Dirayakan di hari minggu, \n Selamat HUT RI yang ke 72, \n Semoga Indonesia tetap bersatu \n ",pantun
Jalan-jalan ke Ciamis \n Ada gedung parkirnya gratis \n Aku cinta sama si kumis \n orangnya ganteng lagi romantis \n ,pantun
